Car Name,Car Webpage,Car Health,Price,Exterior,Interior,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected
2021 Tesla Model 3 Long Range Dual Motor AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB6MF003605/2021-tesla-model-3/,Used,"$20,998",Solid Black,Unknown,"50,738 miles",Electric,,353 mi,Automatic Transmission,AWD,L - Electric,"Daly City, CA",Listed 19 days ago,5YJ3E1EB6MF003605,EZ7754,0,1,Clean Title,Fleet,1/30/2025
2022 Polestar 2 Long Range Dual Motor AWD,https://www.truecar.com/used-cars-for-sale/listing/LPSED3KA1NL058909/2022-polestar-2/,Used,"$24,999",White,Gray,"35,376 miles",Electric,,249 mi,Automatic Transmission,AWD,L - Electric,"San Francisco, CA",Listed 118 days ago,LPSED3KA1NL058909,NL058909,0,1,Clean Title,Fleet,1/6/2025
2017 Volkswagen e-Golf SE,https://www.truecar.com/used-cars-for-sale/listing/WVWKR7AU2HW953861/2017-volkswagen-e-golf/,Used,"$10,300",Indium Gray Metallic,Titan Black,"56,973 miles",Electric,,125 mi,Automatic Transmission,FWD,L - Electric,"Daly City, CA",Listed 41 days ago,WVWKR7AU2HW953861,953861,0,1,Clean Title,Personal,1/8/2025
2020 Chevrolet Sonic 5dr HB LT w/1FL,https://www.truecar.com/used-cars-for-sale/listing/1G1JG6SB0L4130013/2020-chevrolet-sonic/,Used,"$9,299",Nightfall Gray Metallic,Jet Black/Dark Titanium,"79,740 miles",Gas,26 city / 34 highway,,Automatic Transmission,FWD,1.4L Inline-4 Gas Inline,"Colma, CA",Listed 94 days ago,1G1JG6SB0L4130013,20CHV0563U,0,1,Clean Title,Fleet,1/30/2025
2022 Ford Edge SEL,https://www.truecar.com/used-cars-for-sale/listing/2FMPK4J93NBA92901/2022-ford-edge/,Used,"$18,799",Silver,Unknown,"53,819 miles",Gas,21 city / 28 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Fresno, CA",Listed 152 days ago,2FMPK4J93NBA92901,1354,0,1,Clean Title,Mixed,2/16/2025
2015 Chevrolet Cruze LT with 1LT Automatic,https://www.truecar.com/used-cars-for-sale/listing/1G1PC5SB2F7265304/2015-chevrolet-cruze/,Used,"$8,495",Tungsten Metallic,Jet Black,"54,701 miles",Gas,26 city / 38 highway,,Automatic Transmission,FWD,1.4L Inline-4 Gas Inline,"Fresno, CA",Listed 7 days ago,1G1PC5SB2F7265304,F7265304T,0,1,Clean Title,Personal,2/11/2025
2016 Dodge Grand Caravan SXT,https://www.truecar.com/used-cars-for-sale/listing/2C4RDGCG6GR317911/2016-dodge-grand-caravan/,Used,"$10,444",Granite Crystal Metallic Clearcoat,Black/Light Graystone,"75,150 miles",Gas,17 city / 25 highway,,Automatic Transmission,FWD,3.6L V-6 Gas V,"Fresno, CA",Listed 4 days ago,2C4RDGCG6GR317911,GR317911PX,0,3,Clean Title,Rental,12/17/2024
2008 BMW 335i Sedan,https://www.truecar.com/used-cars-for-sale/listing/WBAVB73578KY63892/2008-bmw-3-series/,Used,"$7,500",Montego Blue Metallic,Gray,"113,015 miles",Gas,19 city / 29 highway,,Automatic Transmission,RWD,3.0L Inline-6 Gas Inline,"Fresno, CA",Listed 88 days ago,WBAVB73578KY63892,8KY63892,0,4,Clean Title,Fleet,2/5/2025
2021 GMC Sierra 1500 SLE Crew Cab Short Bed 4WD,https://www.truecar.com/used-cars-for-sale/listing/1GTU9BED3MZ273532/2021-gmc-sierra-1500/,Used,"$31,488",White,Jet Black,"67,233 miles",Gas,18 city / 21 highway,,Automatic Transmission,4WD,5.3L Inline-8 Gas Inline,"Fresno, CA",Listed 116 days ago,1GTU9BED3MZ273532,56582A,0,2,Clean Title,Personal,1/8/2025
2023 Ford Edge SEL,https://www.truecar.com/used-cars-for-sale/listing/2FMPK4J92PBA26407/2023-ford-edge/,Used,"$20,418",Agate Black Metallic,Ebony,"40,351 miles",Gas,21 city / 28 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Fresno, CA",Listed 74 days ago,2FMPK4J92PBA26407,PBA26407P,0,1,Clean Title,Rental,12/6/2024
2013 Mercedes-Benz C 250 Sport Sedan RWD,https://www.truecar.com/used-cars-for-sale/listing/WDDGF4HB6DA791036/2013-mercedes-benz-c-class/,Used,"$8,999",White,Beige,"110,775 miles",Gas,21 city / 31 highway,,Automatic Transmission,RWD,1.8L Inline-4 Gas Inline,"Fresno, CA",Listed 58 days ago,WDDGF4HB6DA791036,DA791036,0,2,Clean Title,Personal,12/22/2024
2016 Nissan Frontier SV Crew Cab 2WD Auto SWB,https://www.truecar.com/used-cars-for-sale/listing/1N6AD0ER6GN740243/2016-nissan-frontier/,Used,"$12,999",White,Gray,"117,686 miles",Gas,16 city / 22 highway,,Automatic Transmission,RWD,4.0L V-6 Gas V,"Fresno, CA",Listed 88 days ago,1N6AD0ER6GN740243,GN740243,0,2,Clean Title,Mixed,2/5/2025
2020 Lincoln Continental Black Label AWD,https://www.truecar.com/used-cars-for-sale/listing/1LN6L9BC1L5602437/2020-lincoln-continental/,Used,"$29,998",Infinite Black,Jet Black,"72,032 miles",Gas,16 city / 24 highway,,Automatic Transmission,AWD,3.0L V-6 Gas V,"Fresno, CA",Listed 80 days ago,1LN6L9BC1L5602437,L5602437P,0,1,Clean Title,Fleet,2/13/2025
